9562,latitude,longitude,type,residential_population
3200,48.6947509593,21.2083302833,dp,2
3201,48.6956016531,21.2083302833,dp,2
3202,48.6853933281,21.2096454944,dp,11
3203,48.6862440218,21.2096454944,dp,4
3204,48.6870947156,21.2096454944,dp,7
3205,48.6879454093,21.2096454944,dp,8
3206,48.6887961031,21.2096454944,dp,8
3207,48.6896467968,21.2096454944,dp,8
3208,48.6904974906,21.2096454944,dp,8
3209,48.6913481843,21.2096454944,dp,7
3210,48.6921988781,21.2096454944,dp,2
3211,48.6930495718,21.2096454944,dp,2
3212,48.6939002656,21.2096454944,dp,2
3213,48.6947509593,21.2096454944,dp,1
3214,48.6956016531,21.2096454944,dp,3
3215,48.6845426343,21.2109607055,dp,10
3216,48.6853933281,21.2109607055,dp,4
3217,48.6862440218,21.2109607055,dp,7
3218,48.6870947156,21.2109607055,dp,8
3219,48.6879454093,21.2109607055,dp,8
3220,48.6887961031,21.2109607055,dp,8
3221,48.6896467968,21.2109607055,dp,8
3222,48.6904974906,21.2109607055,dp,8
3223,48.6913481843,21.2109607055,dp,7
3224,48.6921988781,21.2109607055,dp,2
3225,48.6930495718,21.2109607055,dp,2
3226,48.6939002656,21.2109607055,dp,1
3227,48.6947509593,21.2109607055,dp,2
3228,48.6836919406,21.2122759166,dp,5
3229,48.6845426343,21.2122759166,dp,4
3230,48.6853933281,21.2122759166,dp,7
3231,48.6862440218,21.2122759166,dp,8
3232,48.6870947156,21.2122759166,dp,8
3233,48.6879454093,21.2122759166,dp,8
3234,48.6887961031,21.2122759166,dp,8
3235,48.6896467968,21.2122759166,dp,8
3236,48.6904974906,21.2122759166,dp,8
3237,48.6913481843,21.2122759166,dp,7
3238,48.6921988781,21.2122759166,dp,2
3239,48.6930495718,21.2122759166,dp,1
3240,48.6939002656,21.2122759166,dp,1
3241,48.6947509593,21.2122759166,dp,15
3242,48.6828412468,21.2135911277,dp,1
3243,48.6836919406,21.2135911277,dp,4
3244,48.6845426343,21.2135911277,dp,7
3245,48.6853933281,21.2135911277,dp,8
3246,48.6862440218,21.2135911277,dp,8
3247,48.6870947156,21.2135911277,dp,8
3248,48.6879454093,21.2135911277,dp,8
3249,48.6887961031,21.2135911277,dp,8
3250,48.6896467968,21.2135911277,dp,8
3251,48.6904974906,21.2135911277,dp,8
3252,48.6913481843,21.2135911277,dp,6
3253,48.6921988781,21.2135911277,dp,1
3254,48.6930495718,21.2135911277,dp,3
3255,48.6828412468,21.2149063388,dp,1
3256,48.6836919406,21.2149063388,dp,4
3257,48.6845426343,21.2149063388,dp,8
3258,48.6853933281,21.2149063388,dp,8
3259,48.6862440218,21.2149063388,dp,8
3260,48.6870947156,21.2149063388,dp,8
3261,48.6879454093,21.2149063388,dp,8
3262,48.6887961031,21.2149063388,dp,8
3263,48.6896467968,21.2149063388,dp,8
3264,48.6904974906,21.2149063388,dp,6
3265,48.6913481843,21.2149063388,dp,4
3266,48.6828412468,21.21622155,dp,1
3267,48.6836919406,21.21622155,dp,6
3268,48.6845426343,21.21622155,dp,8
3269,48.6853933281,21.21622155,dp,8
3270,48.6862440218,21.21622155,dp,8
3271,48.6870947156,21.21622155,dp,8
3272,48.6879454093,21.21622155,dp,8
3273,48.6887961031,21.21622155,dp,8
3274,48.6896467968,21.21622155,dp,6
3275,48.6904974906,21.21622155,dp,4
3276,48.6913481843,21.21622155,dp,19
3277,48.6828412468,21.2175367611,dp,1
3278,48.6836919406,21.2175367611,dp,3
3279,48.6845426343,21.2175367611,dp,6
3280,48.6853933281,21.2175367611,dp,7
3281,48.6862440218,21.2175367611,dp,7
3282,48.6870947156,21.2175367611,dp,6
3283,48.6879454093,21.2175367611,dp,6
3284,48.6887961031,21.2175367611,dp,5
3285,48.6896467968,21.2175367611,dp,8
3286,48.6845426343,21.2188519722,dp,9
3287,48.6853933281,21.2188519722,dp,4
3288,48.6862440218,21.2188519722,dp,6
3289,48.6870947156,21.2188519722,dp,6
3290,48.6879454093,21.2188519722,dp,3
3291,48.6887961031,21.2188519722,dp,13
3292,48.6853933281,21.2201671833,dp,10
3293,48.6862440218,21.2201671833,dp,6
3294,48.6870947156,21.2201671833,dp,5
3295,48.6879454093,21.2201671833,dp,5
3296,48.6853933281,21.2214823944,dp,19
3297,48.6862440218,21.2214823944,dp,3
3298,48.6870947156,21.2214823944,dp,3
3299,48.6551422639,21.1790004064,dp,2
3300,48.6756517918,21.180355049,dp,1
3301,48.6765435104,21.180355049,dp,1
3302,48.6756517918,21.1817096916,dp,1
3303,48.6765435104,21.1817096916,dp,1
3304,48.677435229,21.1817096916,dp,1
3305,48.6676263244,21.1830643342,dp,7
3306,48.672976636,21.1830643342,dp,2
3307,48.6738683546,21.1830643342,dp,3
3308,48.677435229,21.1830643342,dp,1
3309,48.6783269476,21.1830643342,dp,1
3310,48.668518043,21.1844189768,dp,9
3311,48.6694097616,21.1844189768,dp,6
